"level","stem"
"B1","erhalt"
"B1","erhielt"
"B1","erhoh"
"B1","erhoht"
"B1","erhol"
"B1","erholt"
"A2","erichtet"
"B1","erinn"
"A2","erinnerst"
"A2","erinnert"
"B1","erinner"
"B1","erkalt"
"A2","erkaltet"
"B1","erkannt"
"B1","erkenn"
"B1","erkennt"
"A2","erklar"
"A2","erklart"
"B1","erkund"
"B1","erkundigt"
"A2","erlau"
"B1","erlaub"
"B1","erlaubnis"
"A2","erlaubt"
"A2","erlauhbt"
"B1","erleb"
"B1","erlebnis"
"B1","erlebt"
"B1","erled"
"B1","erledigt"
"B1","erleicht"
"B1","erleichtert"
"A2","ermass"
"B1","ern"
"B1","ernahr"
"B1","ernahrt"
"B1","ernst"
"B1","ernsthaft"
"B1","ernt"
"B1","eroffn"
"B1","eroffnet"
"A2","err"
"A2","erreich"
"A2","erreicht"
"B1","ersatz"
"B1","erscheint"
"B1","erschi"
"B1","erschopft"
"B1","erschrak"
"B1","erschreck"
"B1","erschreckt"
"B1","erschrickt"
"B1","erschrock"
"B1","ersetz"
"B1","ersetzt"
"A2","erst"
"B1","erstell"
"B1","erstellt"
"A2","ert"
"B1","erwachs"
"B1","erwart"
"B1","erwartet"
"B1","erweitert"
"B1","erzahl"
"A2","erzahlt"
"B1","erzieh"
"B1","erzieht"
"B1","erzog"
"A2","esen"
"B1","esist"
"A1","ess"
"B1","essensausgab"
"B1","essig"
"B1","esstisch"
"B1","etag"
"B1","etc"
"A2","etrsucht"
"A2","ett"
"B1","etwa"
"A1","etwas"
"A2","euch"
"A1","euer"
"A2","eufht"
"A2","eur"
"A1","euro"
"B1","europa"
"A2","eut"
"B1","euuro"
"A1","eva"
"A2","evd"
"B1","eventuel"
"B1","eventuell"
"A2","ever"
"A2","ewg"
"B1","ewig"
"B1","expert"
"B1","export"
"B1","exportabteil"
"B1","extra"
"B1","extr"
"B1","fabrik"
"A2","fach"
"B1","fachfrau"
"B1","fachleut"
"B1","fachmann"
"A2","faer"
"A2","fah"
"B1","fahig"
"A1","fahr"
"B1","fahrbahn"
"B1","fahrerin"
"B1","fahrgeld"
"A1","fahrkart"
"B1","fahrkartenautomat"
"B1","fahrkartenkontroll"
"A2","fahrplan"
"A1","fahrrad"
"B1","fahrradfahr"
"B1","fahrschein"
"A2","fahrst"
"B1","fahrstuhl"
"A1","fahrt"
"B1","fahrtkost"
"B1","fahrzeug"
"B1","fair"
"B1","faktor"
"A2","fall"
"B1","fallig"
"A2","fallt"
"A1","falsch"
"B1","fami"
"A2","famil"
"A1","famili"
"B1","familienangehor"
"B1","familienfei"
"A1","familiennam"
"A1","familienstand"
"B1","familientreff"
"A2","famill"
"A2","fan"
"B1","fand"
"A2","fang"
"A2","fangt"
"B1","fantasi"
"A2","fantast"
"A1","farb"
"B1","farbig"
"A2","farbstift"
"A2","fark"
"B1","fas"
"B1","faschiert"
"B1","fasching"
"B1","fasnacht"
